ClientId: 1022
Blu-Ray 4/16
Shoes 12/26
Lamp 8/4
Lamp 1/7
Song 6/1
Blu-Ray 8/9
Phone 7/24
Song 1/8
Phone 5/12
Shoes 2/17
Blu-Ray 3/15
Blu-Ray 1/8
Blu-Ray 1/25
Textbook 10/15
Shoes 4/11
Lamp 1/20
Song 6/23
Phone 7/19
Lamp 6/16
Shoes 11/3
Song 1/5
Lamp 4/24
Lamp 5/6
Blu-Ray 12/7
Song 6/23
Phone 8/3
Blu-Ray 11/2
Song 4/4
Shoes 3/5
Shoes 8/21
MovieRental 9/4
Song 1/12
Song 5/22
Textbook 6/10
Phone 2/12
Shoes 7/1
Song 4/3
Lamp 6/12
Shoes 2/9
Song 8/9
Shoes 4/23
Blu-Ray 9/2
Blu-Ray 11/25
Phone 8/16
Song 5/7
Phone 2/7
Lamp 11/2
Lamp 4/11
Song 11/15
Blu-Ray 4/18
Blu-Ray 5/24
Blu-Ray 12/14
Blu-Ray 12/4
Phone 2/17
Song 5/8
Textbook 1/16
MovieRental 4/14
Phone 7/9
Blu-Ray 7/23
Song 4/25
Song 9/24
Phone 6/9
Blu-Ray 4/25
MovieRental 4/21
Shoes 4/15
Phone 10/3
Textbook 1/8
Textbook 2/17
Phone 3/15
Blu-Ray 7/1
Blu-Ray 9/3
Phone 3/9
Song 8/16
Blu-Ray 4/2
Textbook 2/23
Shoes 8/23
Phone 11/19
Phone 5/25
Song 7/6
Lamp 2/14
Song 8/13
Textbook 2/1
Lamp 6/2
Phone 2/3
Phone 12/8
Song 6/2
MovieRental 5/11
Song 7/17
Shoes 6/17
Phone 1/6
Lamp 11/16
Blu-Ray 3/15
Blu-Ray 10/19
Lamp 1/16
Blu-Ray 2/21
Shoes 4/18
Phone 10/22
Song 4/6
Lamp 7/19
Textbook 4/23
Song 6/11
Lamp 8/20
Song 6/1
Phone 12/8
Shoes 2/20
Phone 8/11
Textbook 11/2
Textbook 5/4
Song 10/9
Song 3/1
Song 2/16
Blu-Ray 11/9
Song 2/19
Song 3/15
Phone 12/18
Textbook 2/3
Textbook 4/16
Phone 7/16
Phone 7/4
Phone 11/16
Song 12/18
Blu-Ray 3/11
Phone 5/11
Song 5/18
Lamp 2/5
Textbook 4/18
Textbook 12/18
Blu-Ray 4/24
Blu-Ray 3/2
Song 4/24
Shoes 1/6
Lamp 3/9
Shoes 10/22
Textbook 4/12
Blu-Ray 11/19
Phone 5/17
Textbook 10/2
MovieRental 6/22
Phone 11/19
Textbook 7/20
MovieRental 3/5
Lamp 7/6
Shoes 7/24
Shoes 1/17
Lamp 9/10
Textbook 1/14
Textbook 12/7
Blu-Ray 3/13
Blu-Ray 12/4
Phone 6/1
Blu-Ray 10/8
Textbook 4/26
Blu-Ray 6/16
Shoes 11/11
Song 3/11
Textbook 1/22
Textbook 10/2
Blu-Ray 8/24
Phone 11/24
Lamp 12/14
Blu-Ray 11/3
MovieRental 6/12
Textbook 6/2
Song 8/18
Song 6/20
Blu-Ray 8/3
Lamp 7/1
Song 9/12
MovieRental 1/20
Blu-Ray 4/21
Textbook 6/17
Phone 5/2
Blu-Ray 5/9
Blu-Ray 10/16
Phone 10/21
Blu-Ray 2/23
MovieRental 9/6
Phone 2/3
MovieRental 10/9
Phone 4/5
Lamp 1/24
MovieRental 10/7
Blu-Ray 10/21
Phone 2/12
Blu-Ray 11/11
Phone 7/7
Textbook 9/19
Blu-Ray 5/6
Lamp 6/2
Shoes 1/18
Phone 1/13
Shoes 1/22
Blu-Ray 10/8
Textbook 6/7
Lamp 8/24
Blu-Ray 3/16
Textbook 3/15
Song 12/23
Song 2/4
Lamp 1/6
MovieRental 5/14
Phone 8/17
Lamp 12/3
MovieRental 4/13
Song 8/21
Shoes 3/15
MovieRental 7/7
Textbook 1/2
Song 10/8
Textbook 4/21
Textbook 2/21
Song 4/23
Phone 10/17
Lamp 3/26
Shoes 7/16
Song 2/24
MovieRental 5/5
Lamp 5/25
Shoes 1/24
Song 7/26
Lamp 12/14
Blu-Ray 6/6
Lamp 8/19
Lamp 5/2
Textbook 12/15
Lamp 8/13
Blu-Ray 4/1
Shoes 12/1
Textbook 11/9
Blu-Ray 7/6
Phone 12/16
Lamp 11/22
Song 6/19
Blu-Ray 8/25
Blu-Ray 4/12
Phone 8/16
Phone 1/23
Blu-Ray 10/9
Song 7/20
Song 3/2
MovieRental 8/21
Textbook 5/7
Phone 3/24
Lamp 12/3
Phone 4/16
Textbook 11/24
Shoes 1/13
Textbook 11/17
Lamp 2/8
Shoes 11/2
Phone 12/16
Textbook 3/18
Textbook 6/10
MovieRental 3/2
MovieRental 3/1
Blu-Ray 2/12
Lamp 9/20
Blu-Ray 5/23
Phone 5/8
MovieRental 6/24
Blu-Ray 5/2
Song 5/25
Shoes 10/16
Shoes 1/2
Phone 10/20
Blu-Ray 2/4
Blu-Ray 10/3
Blu-Ray 9/2
Phone 11/24
Textbook 9/4
Blu-Ray 4/8
Blu-Ray 2/26
Blu-Ray 6/1
MovieRental 7/18
Song 10/25
Song 12/8
Phone 2/9
Song 11/14
Shoes 9/10
Blu-Ray 9/4
Blu-Ray 3/4
Lamp 3/23
Phone 1/17
MovieRental 11/13
Blu-Ray 4/5
Textbook 9/1
MovieRental 2/3
Lamp 8/19
Phone 12/24
MovieRental 3/20
Textbook 9/16
MovieRental 10/5
Song 2/6
Lamp 3/16
Phone 10/22
Textbook 3/1
Textbook 12/23
MovieRental 12/6
Phone 8/10
Blu-Ray 7/11
Song 11/12
Blu-Ray 6/21
Shoes 8/11
Textbook 4/23
Lamp 10/16
Song 1/24
Song 10/6
Textbook 11/22
Phone 4/19
Phone 10/12
MovieRental 9/14
Phone 4/8
Song 12/25
Shoes 11/11
Blu-Ray 6/16
Phone 6/1
Blu-Ray 5/24
Song 4/1
MovieRental 5/18
Textbook 1/17
Song 3/26
Lamp 7/17
MovieRental 5/17
Lamp 8/24
Song 5/24
Textbook 9/25
Song 6/21
Phone 11/6
MovieRental 4/18
MovieRental 8/24
MovieRental 12/22
MovieRental 1/5
Textbook 8/8
Shoes 5/14
Blu-Ray 2/4
Song 12/5
Lamp 11/2
Shoes 11/20
Song 12/19
Shoes 11/9
Blu-Ray 7/21
Shoes 6/6
Song 7/1
Lamp 9/1
Blu-Ray 5/9
Phone 5/19
Song 12/18
Lamp 7/10
Song 5/11
Phone 7/23
Shoes 9/2
MovieRental 7/2
Phone 8/12
Shoes 5/25
Phone 4/6
Phone 12/13
Phone 3/25
Textbook 6/18
Song 1/25
Shoes 7/2
MovieRental 1/7
Song 5/12
Textbook 7/11
Phone 8/26
Phone 3/5
Shoes 7/5
MovieRental 10/15
MovieRental 7/7
Shoes 8/22
MovieRental 4/7
Phone 12/21
Blu-Ray 6/14
MovieRental 10/17
MovieRental 7/8
Song 6/18
Blu-Ray 3/24
MovieRental 10/2
MovieRental 11/7
Blu-Ray 3/8
MovieRental 7/8
Shoes 9/7
MovieRental 10/18
Lamp 4/20
Lamp 1/13
Blu-Ray 1/12
Blu-Ray 5/22
Textbook 11/23
MovieRental 2/6
Phone 10/24
Song 6/3
Song 11/22
MovieRental 2/20
Textbook 1/17
MovieRental 2/4
Blu-Ray 8/6
Blu-Ray 12/6
Song 7/5
MovieRental 11/4
Lamp 12/23
Shoes 8/2
MovieRental 10/23
Lamp 6/8
Lamp 9/7
Blu-Ray 5/19
Phone 6/7
MovieRental 6/14
Phone 10/17
Blu-Ray 2/26
Textbook 3/20
Lamp 4/10
Lamp 2/11
Blu-Ray 5/18
Song 4/4
Shoes 6/4
Phone 12/16
Song 8/17
Blu-Ray 4/19
Textbook 8/3
MovieRental 10/5
Lamp 9/18
Song 1/19
Phone 7/15
Lamp 12/14
Blu-Ray 1/20
Shoes 2/11
Blu-Ray 9/24
Shoes 8/19
Blu-Ray 5/2
Shoes 12/12
Lamp 2/21
Phone 8/1
Shoes 7/18
Shoes 5/7
Blu-Ray 12/24
Phone 8/7
Blu-Ray 12/2
Shoes 2/26
Shoes 2/11
Phone 11/6
Song 7/23
